year,fit,lwr,upr
2006,102.550766666667,38,248
2007,14.5481111111111,6,33
2008,73.5000666666667,37,155
2009,48.8687111111111,21,112
2010,66.5200222222222,33,143
2011,61.1949666666667,27,135
2012,105.690766666667,55,221
2013,72.6861888888889,36,156
2014,91.0868111111111,52,178
2015,45.8894555555556,20,104
2016,113.634655555556,63,231
2017,96.2065888888889,47,208
2018,111.650811111111,56,239
2019,84.3862777777778,45,176
2020,72.5288444444444,33,159
2021,176.6498,90,370
2022,186.4287,91,402
